position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,localScale.x,localScale.y,localScale.z,localPosition.x,localPosition.y,localPosition.z,localRotation.x,localRotation.y,localRotation.z,localRotation.w,frame,timeStamp,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,0,0,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,1,0.02,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,2,0.12,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,3,0.1454604,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,4,0.1549,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,5,0.1751884,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,6,0.1793805,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,7,0.1842849,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,8,0.189606,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,9,0.1941532,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,10,0.1977543,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,11,0.2023426,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,12,0.2070326,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,13,0.2115039,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,14,0.2151716,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,15,0.2198146,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,16,0.2233772,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,17,0.2280335,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,18,0.2316586,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,19,0.2367086,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,20,0.2412577,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,21,0.2449082,
0,0,-0.7345621,0,0,0,1,1,1,1,0,0,-0.7345621,0,0,0,1,22,0.248458,
